DataPoint,UnixTime,SessionTime,Wheel_RPM_Left,Wheel_RPM_Right,Stroke1_mm,Stroke2_mm,I_SENSE(A),TMP(C),APPS(%),BPPS(%),AMS_OK,IMD_OK,HV_ON,BSPD_OK,GPS_Lat,GPS_Lng,GPS_Age,GPS_Course,GPS_Speed,IMU_AccelX,IMU_AccelY,IMU_AccelZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ,BAMOVolt(V),BAMOAmp(A),BAMOPower(W),MotorTemp(C),BAMOTemp(C)
26,1768206958801,6936,2748.00,0.00,31.56,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
27,1768206959001,7136,1014.00,0.00,31.30,0.16,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
28,1768206959201,7336,246.00,0.00,32.38,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
29,1768206960401,7536,900.00,0.00,32.07,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
30,1768206960601,7736,516.00,0.00,31.81,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
31,1768206960801,7936,774.00,0.00,30.93,24.27,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
32,1768206961001,8136,576.00,0.00,31.59,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
33,1768206961201,8336,498.00,0.00,31.85,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
34,1768206962401,8536,342.00,0.00,32.03,0.09,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
35,1768206962601,8736,342.00,0.00,32.44,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
36,1768206962801,8936,306.00,0.00,32.18,0.04,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
37,1768206963001,9136,360.00,0.00,32.07,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
38,1768206963201,9336,540.00,0.00,32.14,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
39,1768206964401,9536,408.00,0.00,32.33,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
40,1768206964601,9736,444.00,0.00,31.89,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
41,1768206964801,9936,420.00,0.00,31.87,0.16,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
42,1768206965001,10136,426.00,0.00,30.82,52.14,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
43,1768206965201,10336,420.00,0.00,31.81,0.07,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
44,1768206966401,10536,282.00,0.00,31.21,29.19,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
45,1768206966601,10736,378.00,0.00,31.59,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
46,1768206966801,10936,336.00,0.00,31.59,0.13,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
47,1768206967001,11136,276.00,0.00,31.87,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
48,1768206967201,11336,336.00,0.00,31.74,0.24,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
49,1768206968401,11536,360.00,0.00,32.07,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
50,1768206968601,11736,378.00,0.00,31.79,1.41,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
51,1768206968801,11936,456.00,0.00,31.59,7.56,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
52,1768206969001,12136,438.00,0.00,31.87,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
53,1768206969201,12336,534.00,0.00,32.36,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
54,1768206970401,12536,378.00,0.00,32.03,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
55,1768206970601,12736,384.00,0.00,32.31,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
56,1768206970801,12936,744.00,0.00,31.98,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
57,1768206971001,13136,72.00,0.00,31.61,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.0000,0.0000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0.0,
